service,financial_year,municipal_population,branch_visits
Bayside,2022-23,102101,366270
Melbourne,2022-23,159813,887009
Monash,2022-23,194707,639887
Yarra,2022-23,92118,528747
Yarra Plenty,2022-23,427062,1253397
Victoria (Total),2022-23,6619863,20120892
Bayside,2023-24,104272,415826
Melbourne,2023-24,177396,1138865
Monash,2023-24,203560,788700
Yarra,2023-24,97448,597412
Yarra Plenty,2023-24,437895,1365546
Victoria (Total),2023-24,6815441,22896880
Bayside,2024-25,106118,453479
Melbourne,2024-25,189381,1167795
Monash,2024-25,209268,874927
Yarra,2024-25,100706,625884
Yarra Plenty,2024-25,448828,1425592
Victoria (Total),2024-25,6978719,24200961
